id_product;id_category_default;slug;link_rewrite;name;latin_name;description;description_short;meta_title;meta_desc;active;reference;ean;price;
"1";"194";"1-coreopsis-grandiflora-presto";"coreopsis-grandiflora-presto";"Кореопсис крупноцвітковий 'Престо'";"Coreopsis grandiflora 'Presto'";"Кореопсис крупноквітковий 'Presto', Coreopsis grandiflora 'Presto'
Як росте та виглядає Кореопсис крупноцвітковий ‘Престо’: багаторічна трав’яниста рослина з прямостоячими міцними пагонами. Утворює компактні кущики висотою 50–60 см і шириною близько 40–50 см, з пишною, розлогою кроною. Листя перисте або розсічене, середньо-зелене, декоративне протягом усього сезону. Основною декоративною особливістю сорту є крупні яскраво-жовті квітки  діаметром 5–7 см, що з’являються масово й прикрашають рослину від початку літа до перших заморозків. Квітконоси довгі, тонкі, але міцні, добре тримають суцвіття над листям.
Як садити та доглядати Coreopsis ‘Presto’: для посадки обирають сонячні ділянки з родючим, легким, добре дренованим ґрунтом. Кореопсис невибагливий, але не переносить застою води. Полив помірний, за потреби під час тривалої посухи. Після першого цвітіння рекомендується легка обрізка для стимуляції повторного цвітіння та підтримання компактної форми. Рослина добре реагує на мульчування та підживлення слабкими добривами для квітучих багаторічників. Зимостійкість: сорт витримує морози до приблизно ‑25 °C, що дозволяє вирощувати його у відкритому ґрунті без укриття в помірних кліматичних зонах.
Де використовується кореопсис крупноквітковий ‘Presto’: широко використовується в декоративному озелененні: у міксбордерах і багаторічних квітниках; у групових та солітерних посадках для яскравого кольорового акценту; на узбіччях доріжок, у бордюрах та рабатках; у контейнерному озелененні на терасах та балконах; для зрізання і створення яскравих букетів. Загалом ‘Престо’ - яскравий, тривало квітучий і невибагливий кущовий кореопсис, який додає саду сонячних жовтих акцентів протягом усього літа.";"";"Coreopsis grandiflora 'Presto', Кореопсис крупноцвітковий 'Престо'|landshaft.info";"Купити Coreopsis grandiflora 'Presto', Кореопсис крупноцвітковий 'Престо' з росадника|Фото, опис, ціна, властивості.";"1";"1";"";"0.000000";
"3";"386";"3-festuca-glauca";"festuca-glauca";"Костриця сиза";"Festuca glauca";"Festuca glauca, Вівсяниця сиза
Синоніми, інші назви: Festuca glauca, Типчак, або Костриця борозниста (Festuca valesiaca), — багаторічна трав'яниста щільно дерниста рослина.
Як виглядає і росте Вівсяниця сиза:
Вівсяниця сиза – багаторічний, не високий злак сіро-блакитного кольору. Росте до 30-50 см. Росте кущем, майже ідеальної сферичної форми. Листочки вівсяниці сизої вузькі та ниткоподібні. Цвіте в червні-липні, сіро-зеленими колосовидними суцвіттями 5-7 см.
Вівсяниця сиза - як саджати і доглядати:
Вівсяниця сиза – це світлолюбива, невибаглива рослина. Рекомендується висаджувати на сонячному місці в сухий, добре дренований грунт. Ця рослина не переносить надмірну вологу, протяги та тінь. Вона є посухостійкою. Вівсяниця не любить поживних грунтів. Вона ефектно розростається тільки на грунті, в якому є мінімальна кількість гумусу та поживних речовин.
Вівсяниця сиза - де саджати:
Вівсяницю сизу часто використовують в ландшафтному дизайні: в оформленні кам'янистих гірок, альпінаріїв та рокаріїв. Також її висаджують як рослину що зміцнює грунт на схилах, утворюючи гарний килим. Вівсяниця чудово підійде для бордюрів, міксбордерів та рабаток а також для вирощування в кашпо.";"";"Festuca glauca, Костриця сиза|landshaft.info";"Купити Festuca glauca, Костриця сиза з росадника|Фото, опис, ціна, властивості.";"1";"3";"";"0.000000";
"5";"1214";"5-stipa";"stipa";"Ковила";"Stipa";"Назва: походить від грецького слова «ступі» (пакля), дано по перисто-волосистим остям у типового вигляду.Опис: понад 300 видів цього роду, переважно степові та напівпустельні рослини, поширене майже у всіх позатропічних зонах земної кулі.Ковила (Stipa) — рід однодольних рослин родини тонконогових (злакових, Poaceae). До роду відносяться біля 300 видів багаторічних сухолюбивих трав, що ростуть переважно в тропічних і теплих степових районах.Ці трави мають коротке кореневище, що іноді випускає дуже великий пучок жорсткого листя, згорнутого часто в трубку і схожого на дріт. Суцвіття волотисте, колоски містять по одній квітці, криючих лусок 2, зовнішня квіткова переходить в довгу, здебільшого перегнуту коліном і біля основи скручену ость, щільно охоплює плід (зерно) до його дозрівання, після чого ость відвалюється. Будучи сухолюбивою рослиною, ковила селиться на степових лугах, на сухих відкритих горбах, на скелях і кам'янистих розсипах.Такі види як Stipa pennata або периста ковила, довга ость якої вкрита м'якими волосками, і тирса або волосиста ковила (Stipa capillata), ость якої не вкрита волосками, покривають залишки степів південної Європи, в тому числі й України, пучками свого жорсткого листя. Менш поширені види цих районів: Stipa Lessingiana і Stipa Tirsa Stev., що мало відрізняються від Stipa capillata.";"";"Stipa, Ковила|landshaft.info";"Купити Stipa, Ковила з росадника|Фото, опис, ціна, властивості.";"1";"5";"";"0.000000";
"7";"338";"7-platanus-x-acerifolia";"platanus-x-acerifolia";"Платан кленолистий";"";"Platanus x acerifolia
Платан кленолистий
Синоніми, інші назви: Платан Лондонський, platanus x hispanica, Платан іспанський, Платан гібридний, 'Сімейне дерево'
Декоративні особливості Платана Кленолистого 
Platanus x acerifolia, Платан Лондонський - це могутнє, велике, листяне, морозостійке дерево з широкою, розкидистою кроною. Висаджувати можна в алеї та парки або в одиночних насадженнях. Добре переносить стрижки і підходить для формування крони.
Купити Платан гібридний (кленолистий) вкорінений саджанець або з кореневим коммо від українського виробника з доставкою по Україні.
  Одна з назв платана кленолистого - london plane, адже він став домінантою вулиць столиці Британії. Могутні дерева, які добре витримують агресивне міське середовище та забруднення. Походження платану кленолистого невідоме, але, вважається, що це гібрид Платана західного (platanus occidentalis) та Платана східного (platanus orientalis).
Як виглядає і росте Платан кленолистий: Платан кленолистий - прекрасне дерево для парків, але його можна висаджувати і на менших за площею ділянках, за умови контролю розмірів нечастою обрізкою.   Дуже ефектна декоративна особливість платану кленолистого - у старших дерев кора лущиться, формуючи "килим" на стовбурі з різних за кольором ділянок - сірих, зелених, коричневих і кремових. Особливо вражаюче це виглядає взимку, коли листя вже не закриває гілки та стовбур.
В дорослому віці платан може досягати 20-30м заввишки та 10-15 м в діаметрі. У молодих дерев темпи росту досить високі - до 1м на рік. 
Форма крони Платана гібридного: У молодих саджанців крона конічна, рівномірна, симетричної форми. З часом стає велика, широко розкидиста крона з могутнім товстим стовбуром та гілками. З віком гілки з нижніх ярусів розростаються і звисають над землею.
Листя та плоди Платану Кленолистого: Гігантське - 20-22см завбільшки листя, світло-зелене, часто блискуче. Листя пяти- і семилопатеве, з крупними лопатями.
Декоративні фрукти у вигляді колючих кульок-їжачків звисають на платані протягом всьої зими.
Як саджати Платан кленолистий і доглядати:
Висаджувати платан кленолистий краще на сонці, хоча він буде рости і в напівтіні.
