id_product;id_product_attribute;sku;ean;price;quantity;weight;width;height;depth;attribute_ids;
"1";"334";"1-334";"2103000042327";"99.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"22";
"3";"23";"3-23";"2103000042587";"70.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"22";
"3";"2367";"3-2367";"2100000004546";"165.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"30";
"5";"27";"5-27";"2102000040470";"45.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"22";
"7";"546";"7-546";"2102000039771";"45.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"22|139";
"7";"547";"7-547";"2101000023568";"190.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"30|138";
"7";"2106";"7-2106";"2101000023582";"825.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|75|266";
"7";"2393";"7-2393";"2100000008636";"1045.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|311";
"7";"2394";"7-2394";"2101000023599";"1045.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|268|270";
"7";"2493";"7-2493";"2100000014798";"1720.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"36|75";
"7";"2720";"7-2720";"2100000014804";"1950.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"73|198";
"7";"3173";"7-3173";"2100000024803";"1670.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"186|212";
"7";"3174";"7-3174";"2100000024810";"1670.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"73|186";
"7";"3175";"7-3175";"2100000023349";"3280.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|187|274";
"7";"3265";"7-3265";"2100000031474";"1800.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"152|268|270";
"7";"3266";"7-3266";"2100000026067";"915.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"152|184";
"7";"3267";"7-3267";"2100000026081";"2660.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"210|256|274";
"7";"3299";"7-3299";"2100000027330";"495.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|71";
"7";"3437";"7-3437";"2100000033263";"5700.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|201|308";
"7";"3695";"7-3695";"2100000031498";"1900.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"152|187|268";
"7";"3903";"7-3903";"2100000724840";"4900.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|187|294";
"7";"3980";"7-3980";"2100000243884";"2750.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|187|269";
"7";"4005";"7-4005";"2100000086177";"1320.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|269|270|385";
"7";"4811";"7-4811";"2100000230730";"2035.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|187|294|385";
"7";"4812";"7-4812";"2100000222858";"7300.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|262|312";
"7";"4814";"7-4814";"2100000230723";"1705.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|183|274|385";
"7";"4829";"7-4829";"2100000222865";"7300.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|314|352";
"7";"4991";"7-4991";"2100000269846";"5725.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|308";
"7";"6314";"7-6314";"2100000076406";"1525.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|270";
"7";"6315";"7-6315";"2100000478446";"5500.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|309|465";
"7";"6316";"7-6316";"2100000243891";"4500.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|201|274";
"7";"8394";"7-8394";"2100000724789";"24570.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|366|527|532";
"7";"8395";"7-8395";"2100000724826";"4500.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|274|434";
"7";"8396";"7-8396";"2100000243877";"2165.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|187|268";
"7";"8397";"7-8397";"2100000724819";"4040.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|294|434";
"7";"8398";"7-8398";"2100000725656";"3455.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"262|274";
"7";"8399";"7-8399";"2100000724758";"5620.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|259|352|434";
"7";"9366";"7-9366";"2100000799305";"24800.000000";"1";"0.000000";"0.000000";"0.000000";"0.000000";"366|527|532|585";
"7";"10223";"7-10223";"2100000074334";"4900.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|262|294";
"7";"10224";"7-10224";"2100000541065";"7900.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|353|370";
"7";"10754";"7-10754";"2100000881376";"8100.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|312|434|608";
"7";"10755";"7-10755";"2100000881383";"9000.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|352|434|608";
"7";"10756";"7-10756";"2100000881369";"9600.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|353|434|608";
"7";"10757";"7-10757";"2100000881390";"10500.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|309|434|608";
"7";"11780";"7-11780";"2100000928606";"7300.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|312|370|646";
"7";"11892";"7-11892";"2100000936977";"5700.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"32|308|370|646";
"8";"459";"8-459";"2101000024367";"160.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"30";
"8";"460";"8-460";"2102000040081";"65.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"22";
"8";"2588";"8-2588";"2100000015672";"210.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"31";
"9";"12";"9-12";"2101000012043";"180.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"30|90";
"9";"2077";"9-2077";"2102000034776";"45.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"22";
"10";"36";"10-36";"2101000012623";"135.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"30";
"10";"1436";"10-1436";"2102000035230";"45.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"22";
"10";"3037";"10-3037";"2100000013425";"235.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"31";
"11";"479";"11-479";"2101000012104";"230.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"30";
"11";"3676";"11-3676";"2102000034813";"85.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"22";
"13";"40";"13-40";"2101000012432";"180.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"30";
"13";"863";"13-863";"2102000035087";"55.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"22";
"13";"3635";"13-3635";"2100000003877";"555.000000";"7";"0.000000";"0.000000";"0.000000";"0.000000";"31";
"13";"8806";"13-8806";"2100000020379";"675.000000";"7";"0.000000";"0.000000";"0.000000";"0.000000";"33";
"14";"13";"14-13";"2102000034820";"55.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"22";
"14";"14";"14-14";"2101000012111";"230.000000";"7";"0.000000";"0.000000";"0.000000";"0.000000";"30";
"14";"2258";"14-2258";"2100000003563";"345.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"31";
"14";"4306";"14-4306";"2100000034116";"365.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"181";
"15";"475";"15-475";"2101000012159";"255.000000";"5";"0.000000";"0.000000";"0.000000";"0.000000";"30";
"15";"476";"15-476";"2102000034844";"55.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"22";
"15";"8525";"15-8525";"2100000740918";"130.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"22|541";
"15";"8755";"15-8755";"2100000744671";"445.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"100|277|541";
"15";"9218";"15-9218";"2100000020393";"370.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"31";
"16";"44";"16-44";"2101000012258";"195.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"30";
"16";"3643";"16-3643";"2100000049301";"370.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"181";
"16";"3751";"16-3751";"2100000013418";"340.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"31";
"16";"9694";"16-9694";"2100000814428";"260.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"277";
"18";"16";"18-16";"2101000012340";"225.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"30";
"18";"2821";"18-2821";"2100000020263";"355.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"31";
"19";"48";"19-48";"2101000012449";"255.000000";"129";"0.000000";"0.000000";"0.000000";"0.000000";"30";
"19";"2886";"19-2886";"2100000020232";"360.000000";"2";"0.000000";"0.000000";"0.000000";"0.000000";"31";
"21";"51";"21-51";"2102000035124";"65.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"22";
"21";"52";"21-52";"2101000012487";"280.000000";"28";"0.000000";"0.000000";"0.000000";"0.000000";"30";
"21";"5270";"21-5270";"2100000020225";"380.000000";"0";"0.000000";"0.000000";"0.000000";"0.000000";"31";
